Start Time;End Time;Sentence;Translation;Emotion_fine;Emotion_core;Student Emotion;Corrected_emotion
00:50:12.575000;00:50:18.575000;Het liefst zou ik door willen gaan met Martijn en Gerrit.;I would most like to continue with Martijn and Gerrit.;preference;happiness;neutral;neutral
00:50:19.575000;00:50:23.575000;Ik heb nu zo precies de indruk dat ik geen kracht meer over heb.;I now have the distinct impression that I have no strength left.;exhaustion;sadness;happiness;sadness
00:50:24.575000;00:50:26.575000;Jan bereikt zijn emotionele breakpunt.;Jan reaches his emotional breaking point.;despair;sadness;happiness;sadness
00:50:27.575000;00:50:29.575000;En Zuid gaat even uit z'n dak.;And South goes wild for a moment.;excitement;happiness;happiness;happiness
00:50:29.575000;00:50:32.575000;Hier heb ik mijn baby gevonden.;Here I found my baby.;relief;happiness;neutral;happiness
00:50:33.575000;00:50:35.575000;Waar is mijn baby?;Where is my baby?;worry;fear;fear;fear
00:50:43.575000;00:50:46.575000;Ik heb niet zoveel energie als een 26-jarige.;I don't have as much energy as a 26-year-old.;resignation;sadness;sadness;sadness
00:50:47.575000;00:50:50.575000;Maar elke avond stond de energiemeter op nul.;But every evening the energy meter was at zero.;resignation;sadness;anger;anger
00:50:51.575000;00:50:54.575000;En als je onder de nul komt, dan val je om. Dus dat moest ik zeker niet hebben.;And if you go below zero, then you collapse. So I definitely didn't want that.;apprehension;fear;anger;sadness
00:50:55.575000;00:50:57.575000;Het is een fysiek sterke groep.;It is a physically strong group.;admiration;happiness;surprise;happiness
00:50:59.575000;00:51:05.575000;Waarin ik geprobeerd heb om een bruggetje te slaan naar het stukje sociale gevoel.;In which I tried to make a connection to the aspect of social feeling.;thoughtfulness;neutral;happiness;neutral
00:51:06.575000;00:51:14.575000;Ik denk dat de geestelijke bagage, als je dat al zo wil noemen, niet al te groot is.;I think that the mental baggage, if you want to call it that, is not too big.;reflection;neutral;neutral;neutral
00:00:00;00:00:04.800000;Gisteren heel lang leven in de liefde, Rob begint een compleet nieuw date-experiment.;Yesterday a long life in love, Rob is starting a completely new dating experiment.;curiosity;surprise;happiness;surprise
00:00:04.800000;00:00:07.200000;Hij gaat met twee vrouwen tegelijk samenwonen.;He is going to live together with two women at the same time.;curiosity;surprise;disgust;surprise
00:00:08;00:00:08.600000;Ik ben Rob.;I am Rob.;neutrality;neutral;neutral;neutral
00:00:08.600000;00:00:09.100000;Hi.;Hi.;greeting;neutral;neutral;neutral
00:00:12;00:00:15;Angela laat voorlopig iets minder duidelijk van zich horen.;Angela is making herself heard a little less clearly for the time being.;withdrawal;sadness;disgust;sadness
00:00:15.600000;00:00:18.600000;I better shape up, cause you need a man.;I better shape up, cause you need a man.;determination;happiness;happiness;happiness
00:00:18.600000;00:00:19.600000;Ja, ook.;Yes, also.;acceptance;neutral;neutral;neutral
00:00:19.600000;00:00:21.400000;If I'm gonna prove.;If I'm gonna prove.;determination;neutral;anger;neutral
00:00:21.400000;00:00:22.600000;You better prove.;You better prove.;demand;anger;anger;anger
00:00:22.600000;00:00:23.600000;O, hij is afgelopen.;Oh, it is over.;resignation;sadness;anger;sadness
00:00:23.600000;00:00:24.200000;Ja.;Yes.;agreement;neutral;anger;neutral
00:00:24.200000;00:00:26.600000;Je hebt het gedaan, meid. Ik ben echt...;You did it, girl. I am really...;pride;happiness;happiness;happiness
00:00:26.600000;00:00:27.600000;Proud.;Proud.;pride;happiness;happiness;happiness
