sentence,start_time,end_time
Ik wil eigenlijk mijn penningmeesterschap overdraaien.,0.0,9.84
Wie stemt er op?,10.1,10.7
"Cecile, Malfik en Klaas.",10.7,12.94
En toen kreeg ik twee stemmen.,13.02,14.82
Terwijl ik totaal niet met geld om kan gaan.,15.2,16.98
Het gevaar schuilt hier dicht onder het wateroppervlak.,17.22,20.92
Drie jokers en min 500 euro.,24.24,27.8
"Ja zeg, dit is de hoofdvlees.",28.0,30.14
Daarboven staat een kist.,30.36,32.7
Dus ik weet zeker dat ik ze alle vier gehad heb.,32.72,34.26
"Maar twee schoten, hè?",34.26,34.86
"O, kwaad!",36.9,38.62
Wat geld!,39.72,41.16
Wat moet een mens zonder Ellie Lust?,41.34,44.04
Ellie.,44.48,45.14
Kwaad.,48.22,49.82
"Het lijkt wel een uitgebreid gezin, de kandidatengroep van dit jaar.",58.0,63.18
Lekker huiselijk rollen ze door het spel heen.,63.32,65.78
"Schone schijn misschien, want de openheid is ingeruild voor mysteries.",66.34,71.26
Er borrelt van alles onder het oppervlak dat het verse gezinsgeluk kan verstoren.,71.38,75.7
"Bij iedere afvaller die vertrekt, valt het afscheid de groep zwaarder.",76.0,80.12
Al leek Marjolein vooral perplex te staan dat juist politievrouw Ellie... na een glorieuze klimpartij het spel moest verlaten.,80.54,87.48
Weg als haar hoofdverdachte.,87.34,89.34
Of speelt de actrice dat?,90.1,91.36
En kiest ze geheel volgens eigen script gewoon weer een nieuwe netverdachte?,91.64,96.86
"Ja, ik heb hiernaar weg!",100.28,104.28
Het schoolverhaal met 18 jullen.,107.24,111.62
MUZIEK MUZIEK Altijd lekker geslapen.,117.34,159.42
Ik denk dat het komt door de gedachte dat jij zo dicht bij me bent.,160.34,163.04
Dat ik daardoor elke keer...,163.38,164.62
"Zo, dit is lang geleden.",165.7,168.14
Oud met Jim.,168.44,169.44
"De groep wordt kleiner, dus ze zitten dichter op de mol.",169.96,173.58
Maar de mol zit ook dichter op ons.,173.86,175.76
"Het zal allemaal meespelen, maar het feit is wel, we zijn nu met z'n zevenen.",175.34,180.28
En we zijn in aflevering vijf.,180.9,183.2
Dus we doen blijkbaar iets goed.,183.74,186.5
Vind je hier al iemand?,187.26,188.86
Nee.,188.86,189.94
Jij hebt al gestreken vanochtend.,190.36,192.12
Ik dacht het wel.,192.12,193.52
De stand mannen-vrouwen is op dit moment 4-3.,194.32,197.98
"En ik bedacht me opeens dat de vrouwen die over zijn, alle drie moeders zijn.",198.7,203.16
Misschien zijn wij eigenlijk de sterkste vrouwen van de groep geweest.,203.34,207.2
"De thee is hier niet, hè?",208.12,209.76
Het is al even water.,209.76,210.8
Ik blijf gewoon doen wat ik gedaan heb.,211.12,212.96
Want tot nu toe heeft dat dus blijkbaar gewerkt.,212.98,214.7
Ik heb heel goed opgelet.,214.8,216.52
Ik heb alles opgeschreven.,216.52,218.02
Ik ga kijken of ik het volhoud.,218.3,219.46
Ik ga ervoor.,219.46,220.2
Ik wil het volhouden.,220.2,221.32
Want ik zou het helemaal te gek vinden.,221.4,223.68
Maar ik probeer nu gewoon in het moment en per minuut te leven eigenlijk.,224.2,228.36
Ik dacht dat jij eruit was.,228.56,230.42
Zit je nog in het spel?,230.42,231.94
We doen het een beetje.,233.34,237.1
Ik ben nog steeds onderdeel van dit spel.,237.26,239.88
Ik heb ook het idee dat ik nog wel wat te spelen heb.,240.24,242.46
"Dus ja, ik heb zin in de volgende opdracht.",242.72,246.16
Kom maar op.,246.16,246.82
"Met je zin in, Tim?",247.42,248.54
In wat?,248.54,249.34
Gewoon vandaag.,249.46,250.38
Ja?,250.38,251.22
Ja?,251.22,251.68
"Nou, jij?",251.9,252.46
Ja hoor.,252.46,253.08
MUZIEK Wij kwamen aan met ons busje op Rincon Beach.,263.34,290.1
Eén van de mooiste stranden van het eiland.,290.22,292.0
"Een heel mooie kleur, lichtblauw water.",291.34,295.06
Het ziet er fantastisch uit.,295.32,296.8
