Start Time,End Time,Sentence,Translation,Emotion_fine,Emotion_core,Intensity
1900-01-01 00:00:00,1900-01-01 00:00:02,TV GELDERLAND 2021.,TV GELDERLAND 2021.,neutrality,neutral,neutral
1900-01-01 00:00:30,1900-01-01 00:00:32,Daar boven staat een kist.,There is a chest up there.,observation,neutral,neutral
1900-01-01 00:00:33,1900-01-01 00:00:35,Ik weet zeker dat ik ze alle vier gehad heb.,I am sure that I have had all four of them.,certainty,neutral,moderate
1900-01-01 00:00:37,1900-01-01 00:00:39,"O, kwaak!","Oh, quack!",exclamation,surprise,mild
1900-01-01 00:00:41,1900-01-01 00:00:44,Wat moet een mens zonder Ellie Lust?,What should a person do without Ellie Lust?,longing,sadness,mild
1900-01-01 00:00:44,1900-01-01 00:00:46,Ellie.,Ellie.,neutrality,neutral,neutral
1900-01-01 00:00:48,1900-01-01 00:00:50,Kwaak.,Kwaak.,neutrality,neutral,neutral
1900-01-01 00:00:50,1900-01-01 00:00:52,"Nee, nee, nee.","No, no, no.",rejection,anger,moderate
1900-01-01 00:00:59,1900-01-01 00:01:03,"Het lijkt wel een uitgebreid gezin, de kandidatengroep van dit jaar.","It seems like an extended family, this year's group of candidates.",warmth,happiness,mild
1900-01-01 00:01:03,1900-01-01 00:01:06,Lekker huiselijk rollen ze door het spel heen.,They roll through the game in a nice homely way.,contentment,happiness,mild
1900-01-01 00:01:06,1900-01-01 00:01:08,Schone schijn misschien?,Superficial appearance maybe?,skepticism,neutral,mild
1900-01-01 00:01:08,1900-01-01 00:01:11,Want de openheid is ingeruild voor mysteries.,Because openness has been exchanged for mysteries.,bewilderment,surprise,moderate
1900-01-01 00:01:11,1900-01-01 00:01:13,Er borrelt van alles onder het oppervlak...,There is all sorts of things bubbling under the surface...,tension,fear,moderate
1900-01-01 00:01:13,1900-01-01 00:01:16,dat het verse gezinsgeluk kan verstoren.,that it can disturb the fresh family happiness.,apprehension,fear,mild
1900-01-01 00:01:16,1900-01-01 00:01:20,"Bij iedere afvaller die vertrekt, valt het afscheid de groepswaarde.","With every dropout who leaves, the farewell affects the group value.",loss,sadness,mild
1900-01-01 00:01:20,1900-01-01 00:01:22,Al leek Marjolein vooral perplex te staan...,Although Marjolein seemed mostly to be standing there perplexed...,confusion,surprise,moderate
1900-01-01 00:01:22,1900-01-01 00:01:26,dat juist politievrouw Ellie na een glorieuze klimpartij...,that it is precisely policewoman Ellie after a glorious climb...,admiration,happiness,mild
1900-01-01 00:01:26,1900-01-01 00:01:28,het spel moest verlaten.,had to leave the game.,resignation,sadness,mild
1900-01-01 00:01:28,1900-01-01 00:01:30,Weg als haar hoofdverdachte.,Gone as her prime suspect.,relief,happiness,mild
1900-01-01 00:01:30,1900-01-01 00:01:32,Of speelt de actrice dat?,Or is the actress acting that?,curiosity,neutral,mild
1900-01-01 00:01:32,1900-01-01 00:01:34,En kiest ze geheel volgens eigen script...,And she chooses entirely according to her own script...,independence,neutral,mild
1900-01-01 00:01:34,1900-01-01 00:01:37,gewoon weer een nieuwe nepverdachte?,Just another new fake suspect?,skepticism,disgust,moderate
1900-01-01 00:01:42,1900-01-01 00:01:44,"Ja, ik heb het!","Yes, I have it!",triumph,happiness,intense
1900-01-01 00:01:46,1900-01-01 00:01:48,Woehoe!,Woehoe!,excitement,happiness,intense
1900-01-01 00:01:49,1900-01-01 00:01:52,Het spel verandert achter jullie.,The game is changing behind you.,uncertainty,surprise,mild
1900-01-01 00:02:17,1900-01-01 00:02:19,Oh my God!,Oh my God!,astonishment,surprise,intense
1900-01-01 00:02:19,1900-01-01 00:02:21,"Achter jou, achter jou.","Behind you, behind you.",alarm,fear,intense
1900-01-01 00:02:37,1900-01-01 00:02:39,Altijd lekker geslapen met jullie.,Always slept well with you.,nostalgia,happiness,mild
1900-01-01 00:02:39,1900-01-01 00:02:43,Ik denk dat het komt door de gedachte dat jij zo dik bij me bent.,I think it's because of the thought that you are so close to me.,affection,happiness,mild
1900-01-01 00:02:44,1900-01-01 00:02:46,"Zo, dit is lang geleden.","Well, it's been a long time.",nostalgia,happiness,mild
1900-01-01 00:02:46,1900-01-01 00:02:48,Brood met jam.,Bread with jam.,neutrality,neutral,neutral
1900-01-01 00:02:48,1900-01-01 00:02:50,De groep wordt kleiner.,The group is getting smaller.,resignation,sadness,mild
1900-01-01 00:02:50,1900-01-01 00:02:52,Dus ze zitten dichter op de mol.,So they are closer to the mole.,curiosity,neutral,mild
1900-01-01 00:02:52,1900-01-01 00:02:54,Maar de mol zit ook dichter op ons.,But the mole is also closer to us.,apprehension,fear,mild
1900-01-01 00:02:54,1900-01-01 00:02:56,Het zal allemaal meespelen.,It will all play a part.,resignation,neutral,mild
1900-01-01 00:02:56,1900-01-01 00:02:59,"Maar het feit is wel, we zijn nu met z'n zevenen.","But the fact is, we are now with the seven of us.",acceptance,neutral,neutral
1900-01-01 00:02:59,1900-01-01 00:03:02,En we zijn in aflevering vijf.,And we are in episode five.,acknowledgment,neutral,neutral
1900-01-01 00:03:02,1900-01-01 00:03:05,Dus we doen blijkbaar iets goed.,So apparently we're doing something right.,validation,happiness,mild
1900-01-01 00:03:06,1900-01-01 00:03:08,Ziet er al iemand?,Is anyone already there?,curiosity,neutral,mild
1900-01-01 00:03:08,1900-01-01 00:03:10,Nee.,No.,rejection,anger,mild
1900-01-01 00:03:10,1900-01-01 00:03:12,"Jij hebt al gestreken, of niet?","You have already ironed, haven't you?",curiosity,neutral,mild
1900-01-01 00:03:12,1900-01-01 00:03:14,"Oh, nu dacht ik het wel.","Oh, now I thought I did.",realization,surprise,mild
1900-01-01 00:03:14,1900-01-01 00:03:18,Gestand mannen-vrouwen is op dit moment 4-3.,Score men-women is currently 4-3.,report,neutral,neutral
1900-01-01 00:03:18,1900-01-01 00:03:21,En ik bedacht me opeens dat de vrouwen die over zijn...,And I suddenly realized that the women who are left...,realization,surprise,mild
1900-01-01 00:03:21,1900-01-01 00:03:23,alle drie moeders zijn.,all three mothers are.,neutrality,neutral,neutral
